p,	r,	result
241,	1,	Regular
241,	2,	Regular
251,	1,	Regular
251,	2,	Regular
257,	1,	Regular
257,	2,	Regular
263,	1,	Regular
263,	2,	Regular
269,	1,	Regular
269,	2,	Regular
271,	1,	Regular
271,	2,	Regular
277,	1,	Regular
277,	2,	Regular
281,	1,	Regular
281,	2,	Regular
283,	1,	Regular
283,	2,	Regular
293,	1,	Regular
293,	2,	Regular
307,	1,	Regular
311,	1,	Regular
313,	1,	Regular
317,	1,	Regular
331,	1,	Regular
337,	1,	Regular
347,	1,	Regular
349,	1,	Regular
353,	1,	Regular
359,	1,	Regular
367,	1,	Regular
373,	1,	Regular
379,	1,	Regular
383,	1,	Regular
389,	1,	Regular
397,	1,	Regular
401,	1,	Regular
409,	1,	Regular
419,	1,	Regular
421,	1,	Regular
431,	1,	Regular
433,	1,	Regular
439,	1,	Regular
443,	1,	Regular
449,	1,	Regular
457,	1,	Regular
461,	1,	Regular
463,	1,	Regular
467,	1,	Regular
479,	1,	Regular
487,	1,	Regular
491,	1,	Regular
499,	1,	Regular
503,	1,	Regular
509,	1,	Regular
521,	1,	Regular
523,	1,	Regular
541,	1,	Regular
547,	1,	Regular
557,	1,	Regular
563,	1,	Regular
569,	1,	Regular
571,	1,	Regular
577,	1,	Regular
587,	1,	Regular
593,	1,	Regular
599,	1,	Regular
601,	1,	Regular
607,	1,	Regular
613,	1,	Regular
617,	1,	Regular
619,	1,	Regular
631,	1,	Regular
641,	1,	Regular
643,	1,	Regular
647,	1,	Regular
653,	1,	Regular
659,	1,	Regular
661,	1,	Regular
673,	1,	Regular
677,	1,	Regular
683,	1,	Regular
691,	1,	Regular
701,	1,	Regular
709,	1,	Regular
719,	1,	Regular
727,	1,	Regular
733,	1,	Regular
739,	1,	Regular
743,	1,	Regular
751,	1,	Regular
757,	1,	Regular
761,	1,	Regular
769,	1,	Regular
773,	1,	Regular
787,	1,	Regular
797,	1,	Regular
809,	1,	Regular
811,	1,	Regular
821,	1,	Regular
823,	1,	Regular
827,	1,	Regular
829,	1,	Regular
839,	1,	Regular
853,	1,	Regular
857,	1,	Regular
859,	1,	Regular
863,	1,	Regular
877,	1,	Regular
881,	1,	Regular
883,	1,	Regular
887,	1,	Regular
907,	1,	Regular
911,	1,	Regular
919,	1,	Regular
929,	1,	Regular
937,	1,	Regular
941,	1,	Regular
947,	1,	Regular
953,	1,	Regular
967,	1,	Regular
971,	1,	Regular
977,	1,	Regular
983,	1,	Regular
991,	1,	Regular
997,	1,	Regular
1009,	1,	Regular
1013,	1,	Regular
1019,	1,	Regular
1021,	1,	Regular
1031,	1,	Regular
1033,	1,	Regular
1039,	1,	Regular
1049,	1,	Regular
1051,	1,	Regular
1061,	1,	Regular
1063,	1,	Regular
1069,	1,	Regular
1087,	1,	Regular
1091,	1,	Regular
1093,	1,	Regular
1097,	1,	Regular
1103,	1,	Regular
1109,	1,	Regular
1117,	1,	Regular
1123,	1,	Regular
1129,	1,	Regular
1151,	1,	Regular
1153,	1,	Regular
1163,	1,	Regular
1171,	1,	Regular
1181,	1,	Regular
1187,	1,	Regular
1193,	1,	Regular
1201,	1,	Regular
1213,	1,	Regular
1217,	1,	Regular
1223,	1,	Regular
1229,	1,	Regular
1231,	1,	Regular
1237,	1,	Regular
1249,	1,	Regular
1259,	1,	Regular
1277,	1,	Regular
1279,	1,	Regular
1283,	1,	Regular
1289,	1,	Regular
1291,	1,	Regular
1297,	1,	Regular
1301,	1,	Regular
1303,	1,	Regular
1307,	1,	Regular
1319,	1,	Regular
1321,	1,	Regular
1327,	1,	Regular
1361,	1,	Regular
1367,	1,	Regular
1373,	1,	Regular
1381,	1,	Regular
1399,	1,	Regular
1409,	1,	Regular
1423,	1,	Regular
1427,	1,	Regular
1429,	1,	Regular
1433,	1,	Regular
1439,	1,	Regular
1447,	1,	Regular
1451,	1,	Regular
1453,	1,	Regular
1459,	1,	Regular
1471,	1,	Regular
1481,	1,	Regular
1483,	1,	Regular
1487,	1,	Regular
1489,	1,	Regular
1493,	1,	Regular
1499,	1,	Regular
1511,	1,	Regular
1523,	1,	Regular
1531,	1,	Regular
1543,	1,	Regular
1549,	1,	Regular
1553,	1,	Regular
1559,	1,	Regular
1567,	1,	Regular
1571,	1,	Regular
1579,	1,	Regular
1583,	1,	Regular
1597,	1,	Regular
1601,	1,	Regular
1607,	1,	Regular
1609,	1,	Regular
1613,	1,	Regular
1619,	1,	Regular
1621,	1,	Regular
1627,	1,	Regular
1637,	1,	Regular
1657,	1,	Regular
1663,	1,	Regular
1667,	1,	Regular
1669,	1,	Regular
1693,	1,	Regular
1697,	1,	Regular
1699,	1,	Regular
1709,	1,	Regular
1721,	1,	Regular
1723,	1,	Regular
1733,	1,	Regular
1741,	1,	Regular
1747,	1,	Regular
1753,	1,	Regular
1759,	1,	Regular
1777,	1,	Regular
1783,	1,	Regular
1787,	1,	Regular
1789,	1,	Regular
1801,	1,	Regular
1811,	1,	Regular
1823,	1,	Regular
1831,	1,	Regular
1847,	1,	Regular
1861,	1,	Regular
1867,	1,	Regular
1871,	1,	Regular
1873,	1,	Regular
1877,	1,	Regular
1879,	1,	Regular
1889,	1,	Regular
1901,	1,	Regular
1907,	1,	Regular
1913,	1,	Regular
1931,	1,	Regular
1933,	1,	Regular
1949,	1,	Regular
1951,	1,	Regular
1973,	1,	Regular
1979,	1,	Regular
1987,	1,	Regular
1993,	1,	Regular
1997,	1,	Regular
1999,	1,	Regular
2003,	1,	Regular
2011,	1,	Regular
2017,	1,	Regular
2027,	1,	Regular
2029,	1,	Regular
2039,	1,	Regular
2053,	1,	Regular
2063,	1,	Regular
2069,	1,	Regular
2081,	1,	Regular
2083,	1,	Regular
2087,	1,	Regular
2089,	1,	Regular
2099,	1,	Regular
2111,	1,	Regular
2113,	1,	Regular
2129,	1,	Regular
2131,	1,	Regular
2137,	1,	Regular
2141,	1,	Regular
2143,	1,	Regular
2153,	1,	Regular
2161,	1,	Regular
2179,	1,	Regular
2203,	1,	Regular
2207,	1,	Regular
2213,	1,	Regular
2221,	1,	Regular
2237,	1,	Regular
2239,	1,	Regular
2243,	1,	Regular
2251,	1,	Regular
2267,	1,	Regular
2269,	1,	Regular
2273,	1,	Regular
2281,	1,	Regular
2287,	1,	Regular
2293,	1,	Regular
2297,	1,	Regular
2309,	1,	Regular
2311,	1,	Regular
2333,	1,	Regular
2339,	1,	Regular
2341,	1,	Regular
2347,	1,	Regular
2351,	1,	Regular
2357,	1,	Regular
2371,	1,	Regular
2377,	1,	Regular
2381,	1,	Regular
2383,	1,	Regular
2389,	1,	Regular
2393,	1,	Regular
2399,	1,	Regular
2411,	1,	Regular
2417,	1,	Regular
2423,	1,	Regular
2437,	1,	Regular
2441,	1,	Regular
2447,	1,	Regular
2459,	1,	Regular
2467,	1,	Regular
2473,	1,	Regular
2477,	1,	Regular
2503,	1,	Regular
2521,	1,	Regular
2531,	1,	Regular
2539,	1,	Regular
2543,	1,	Regular
2549,	1,	Regular
2551,	1,	Regular
2557,	1,	Regular
2579,	1,	Regular
2591,	1,	Regular
2593,	1,	Regular
2609,	1,	Regular
2617,	1,	Regular
2621,	1,	Regular
2633,	1,	Regular
2647,	1,	Regular
2657,	1,	Regular
2659,	1,	Regular
2663,	1,	Regular
2671,	1,	Regular
2677,	1,	Regular
2683,	1,	Regular
2687,	1,	Regular
2689,	1,	Regular
2693,	1,	Regular
2699,	1,	Regular
2707,	1,	Regular
2711,	1,	Regular
2713,	1,	Regular
2719,	1,	Regular
2729,	1,	Regular
2731,	1,	Regular
2741,	1,	Regular
2749,	1,	Regular
2753,	1,	Regular
2767,	1,	Regular
2777,	1,	Regular
2789,	1,	Regular
2791,	1,	Regular
2797,	1,	Regular
2801,	1,	Regular
2803,	1,	Regular
2819,	1,	Regular
2833,	1,	Regular
2837,	1,	Regular
2843,	1,	Regular
2851,	1,	Regular
2857,	1,	Regular
2861,	1,	Regular
2879,	1,	Regular
2887,	1,	Regular
2897,	1,	Regular
2903,	1,	Regular
2909,	1,	Regular
2917,	1,	Regular
2927,	1,	Regular
2939,	1,	Regular
2953,	1,	Regular
2957,	1,	Regular
2963,	1,	Regular
2969,	1,	Regular
2971,	1,	Regular
2999,	1,	Regular
3001,	1,	Regular
3011,	1,	Regular
3019,	1,	Regular
3023,	1,	Regular
3037,	1,	Regular
3041,	1,	Regular
3049,	1,	Regular
3061,	1,	Regular
3067,	1,	Regular
3079,	1,	Regular
3083,	1,	Regular
3089,	1,	Regular
3109,	1,	Regular
3119,	1,	Regular
3121,	1,	Regular
3137,	1,	Regular
3163,	1,	Regular
3167,	1,	Regular
3169,	1,	Regular
3181,	1,	Regular
3187,	1,	Regular
3191,	1,	Regular
3203,	1,	Regular
3209,	1,	Regular
3217,	1,	Regular
3221,	1,	Regular
3229,	1,	Regular
3251,	1,	Regular
3253,	1,	Regular
3257,	1,	Regular
3259,	1,	Regular
3271,	1,	Regular
3299,	1,	Regular
3301,	1,	Regular
3307,	1,	Regular
3313,	1,	Regular
3319,	1,	Regular
3323,	1,	Regular
3329,	1,	Regular
3331,	1,	Regular
3343,	1,	Regular
3347,	1,	Regular
3359,	1,	Regular
3361,	1,	Regular
3371,	1,	Regular
3373,	1,	Regular
3389,	1,	Regular
3391,	1,	Regular
3407,	1,	Regular
3413,	1,	Regular
3433,	1,	Regular
3449,	1,	Regular
3457,	1,	Regular
3461,	1,	Regular
3463,	1,	Regular
3467,	1,	Regular
3469,	1,	Regular
3491,	1,	Regular
3499,	1,	Regular
3511,	1,	Regular
3517,	1,	Regular
3527,	1,	Regular
3529,	1,	Regular
3533,	1,	Regular
3539,	1,	Regular
3541,	1,	Regular
3547,	1,	Regular
3557,	1,	Regular
3559,	1,	Regular
3571,	1,	Regular
3581,	1,	Regular
3583,	1,	Regular
3593,	1,	Regular
3607,	1,	Regular
3613,	1,	Regular
3617,	1,	Regular
3623,	1,	Regular
3631,	1,	Regular
3637,	1,	Regular
3643,	1,	Regular
3659,	1,	Regular
3671,	1,	Regular
3673,	1,	Regular
3677,	1,	Regular
3691,	1,	Regular
3697,	1,	Regular
3701,	1,	Regular
3709,	1,	Regular
3719,	1,	Regular
3727,	1,	Regular
3733,	1,	Regular
3739,	1,	Regular
3761,	1,	Regular
3767,	1,	Regular
3769,	1,	Regular
3779,	1,	Regular
3793,	1,	Regular
3797,	1,	Regular
3803,	1,	Regular
3821,	1,	Regular
3823,	1,	Regular
3833,	1,	Regular
3847,	1,	Regular
3851,	1,	Regular
3853,	1,	Regular
3863,	1,	Regular
3877,	1,	Regular
3881,	1,	Regular
3889,	1,	Regular
3907,	1,	Regular
3911,	1,	Regular
3917,	1,	Regular
3919,	1,	Regular
3923,	1,	Regular
3929,	1,	Regular
3931,	1,	Regular
3943,	1,	Regular
3947,	1,	Regular
3967,	1,	Regular
3989,	1,	Regular
4001,	1,	Regular
4003,	1,	Regular
4007,	1,	Regular
4013,	1,	Regular
4019,	1,	Regular
4021,	1,	Regular
4027,	1,	Regular
4049,	1,	Regular
4051,	1,	Regular
4057,	1,	Regular
4073,	1,	Regular
4079,	1,	Regular
4091,	1,	Regular
4093,	1,	Regular
4099,	1,	Regular
4111,	1,	Regular
4127,	1,	Regular
4129,	1,	Regular
4133,	1,	Regular
4139,	1,	Regular
4153,	1,	Regular
4157,	1,	Regular
4159,	1,	Regular
4177,	1,	Regular
4201,	1,	Regular
4211,	1,	Regular
4217,	1,	Regular
4219,	1,	Regular
4229,	1,	Regular
4231,	1,	Regular
4241,	1,	Regular
4243,	1,	Regular
4253,	1,	Regular
4259,	1,	Regular
4261,	1,	Regular
4271,	1,	Regular
4273,	1,	Regular
4283,	1,	Regular
4289,	1,	Regular
4297,	1,	Regular
4327,	1,	Regular
4337,	1,	Regular
4339,	1,	Regular
4349,	1,	Regular
4357,	1,	Regular
4363,	1,	Regular
4373,	1,	Regular
4391,	1,	Regular
4397,	1,	Regular
4409,	1,	Regular
4421,	1,	Regular
4423,	1,	Regular
4441,	1,	Regular
4447,	1,	Regular
4451,	1,	Regular
4457,	1,	Regular
4463,	1,	Regular
4481,	1,	Regular
4483,	1,	Regular
4493,	1,	Regular
4507,	1,	Regular
4513,	1,	Regular
4517,	1,	Regular
4519,	1,	Regular
4523,	1,	Regular
4547,	1,	Regular
4549,	1,	Regular
4561,	1,	Regular
4567,	1,	Regular
4583,	1,	Regular
4591,	1,	Regular
4597,	1,	Regular
4603,	1,	Regular
4621,	1,	Regular
4637,	1,	Regular
4639,	1,	Regular
4643,	1,	Regular
4649,	1,	Regular
4651,	1,	Regular
4657,	1,	Regular
4663,	1,	Regular
4673,	1,	Regular
4679,	1,	Regular
4691,	1,	Regular
4703,	1,	Regular
4721,	1,	Regular
4723,	1,	Regular
4729,	1,	Regular
4733,	1,	Regular
4751,	1,	Regular
4759,	1,	Regular
4783,	1,	Regular
4787,	1,	Regular
4789,	1,	Regular
4793,	1,	Regular
4799,	1,	Regular
4801,	1,	Regular
4813,	1,	Regular
4817,	1,	Regular
4831,	1,	Regular
4861,	1,	Regular
4871,	1,	Regular
4877,	1,	Regular
4889,	1,	Regular
4903,	1,	Regular
4909,	1,	Regular
4919,	1,	Regular
4931,	1,	Regular
4933,	1,	Regular
4937,	1,	Regular
4943,	1,	Regular
4951,	1,	Regular
4957,	1,	Regular
4967,	1,	Regular
4969,	1,	Regular
4973,	1,	Regular
4987,	1,	Regular
4993,	1,	Regular
4999,	1,	Regular
5003,	1,	Regular
5009,	1,	Regular
5011,	1,	Regular
5021,	1,	Regular
5023,	1,	Regular
5039,	1,	Regular
5051,	1,	Regular
5059,	1,	Regular
5077,	1,	Regular
5081,	1,	Regular
5087,	1,	Regular
5099,	1,	Regular
5101,	1,	Regular
5107,	1,	Regular
5113,	1,	Regular
5119,	1,	Regular
5147,	1,	Regular
5153,	1,	Regular
5167,	1,	Regular
5171,	1,	Regular
5179,	1,	Regular
5189,	1,	Regular
5197,	1,	Regular
5209,	1,	Regular
5227,	1,	Regular
5231,	1,	Regular
5233,	1,	Regular
5237,	1,	Regular
5261,	1,	Regular
5273,	1,	Regular
5279,	1,	Regular
5281,	1,	Regular
5297,	1,	Regular
5303,	1,	Regular
5309,	1,	Regular
5323,	1,	Regular
5333,	1,	Regular
5347,	1,	Regular
5351,	1,	Regular
5381,	1,	Regular
5387,	1,	Regular
5393,	1,	Regular
5399,	1,	Regular
5407,	1,	Regular
5413,	1,	Regular
5417,	1,	Regular
5419,	1,	Regular
5431,	1,	Regular
5437,	1,	Regular
5441,	1,	Regular
5443,	1,	Regular
5449,	1,	Regular
5471,	1,	Regular
5477,	1,	Regular
5479,	1,	Regular
5483,	1,	Regular
5501,	1,	Regular
5503,	1,	Regular
5507,	1,	Regular
5519,	1,	Regular
5521,	1,	Regular
5527,	1,	Regular
5531,	1,	Regular
5557,	1,	Regular
5563,	1,	Regular
5569,	1,	Regular
5573,	1,	Regular
5581,	1,	Regular
5591,	1,	Regular
5623,	1,	Regular
5639,	1,	Regular
5641,	1,	Regular
5647,	1,	Regular
5651,	1,	Regular
5653,	1,	Regular
5657,	1,	Regular
5659,	1,	Regular
5669,	1,	Regular
5683,	1,	Regular
5689,	1,	Regular
5693,	1,	Regular
5701,	1,	Regular
5711,	1,	Regular
5717,	1,	Regular
5737,	1,	Regular
5741,	1,	Regular
5743,	1,	Regular
5749,	1,	Regular
5779,	1,	Regular
5783,	1,	Regular
5791,	1,	Regular
5801,	1,	Regular
5807,	1,	Regular
5813,	1,	Regular
5821,	1,	Regular
5827,	1,	Regular
5839,	1,	Regular
5843,	1,	Regular
5849,	1,	Regular
5851,	1,	Regular
5857,	1,	Regular
5861,	1,	Regular
5867,	1,	Regular
5869,	1,	Regular
5879,	1,	Regular
5881,	1,	Regular
5897,	1,	Regular
5903,	1,	Regular
5923,	1,	Regular
5927,	1,	Regular
5939,	1,	Regular
5953,	1,	Regular
5981,	1,	Regular
5987,	1,	Regular
6007,	1,	Regular
6011,	1,	Regular
6029,	1,	Regular
6037,	1,	Regular
6043,	1,	Regular
6047,	1,	Regular
6053,	1,	Regular
6067,	1,	Regular
6073,	1,	Regular
6079,	1,	Regular
6089,	1,	Regular
6091,	1,	Regular
6101,	1,	Regular
6113,	1,	Regular
6121,	1,	Regular
6131,	1,	Regular
6133,	1,	Regular
6143,	1,	Regular
6151,	1,	Regular
6163,	1,	Regular
6173,	1,	Regular
6197,	1,	Regular
6199,	1,	Regular
6203,	1,	Regular
6211,	1,	Regular
6217,	1,	Regular
6221,	1,	Regular
6229,	1,	Regular
6247,	1,	Regular
6257,	1,	Regular
6263,	1,	Regular
6269,	1,	Regular
6271,	1,	Regular
6277,	1,	Regular
6287,	1,	Regular
6299,	1,	Regular
6301,	1,	Regular
6311,	1,	Regular
6317,	1,	Regular
6323,	1,	Regular
6329,	1,	Regular
6337,	1,	Regular
6343,	1,	Regular
6353,	1,	Regular
6359,	1,	Regular
6361,	1,	Regular
6367,	1,	Regular
6373,	1,	Regular
6379,	1,	Regular
6389,	1,	Regular
6397,	1,	Regular
6421,	1,	Regular
6427,	1,	Regular
6449,	1,	Regular
6451,	1,	Regular
6469,	1,	Regular
6473,	1,	Regular
6481,	1,	Regular
6491,	1,	Regular
6521,	1,	Regular
6529,	1,	Regular
6547,	1,	Regular
6551,	1,	Regular
6553,	1,	Regular
6563,	1,	Regular
6569,	1,	Regular
6571,	1,	Regular
6577,	1,	Regular
6581,	1,	Regular
6599,	1,	Regular
6607,	1,	Regular
6619,	1,	Regular
6637,	1,	Regular
6653,	1,	Regular
6659,	1,	Regular
6661,	1,	Regular
6673,	1,	Regular
6679,	1,	Regular
6689,	1,	Regular
6691,	1,	Regular
6701,	1,	Regular
6703,	1,	Regular
6709,	1,	Regular
6719,	1,	Regular
6733,	1,	Regular
6737,	1,	Regular
6761,	1,	Regular
6763,	1,	Regular
6779,	1,	Regular
6781,	1,	Regular
6791,	1,	Regular
6793,	1,	Regular
6803,	1,	Regular
6823,	1,	Regular
6827,	1,	Regular
6829,	1,	Regular
6833,	1,	Regular
6841,	1,	Regular
6857,	1,	Regular
6863,	1,	Regular
6869,	1,	Regular
6871,	1,	Regular
6883,	1,	Regular
6899,	1,	Regular
6907,	1,	Regular
6911,	1,	Regular
6917,	1,	Regular
6947,	1,	Regular
6949,	1,	Regular
6959,	1,	Regular
6961,	1,	Regular
6967,	1,	Regular
6971,	1,	Regular
6977,	1,	Regular
6983,	1,	Regular
6991,	1,	Regular
6997,	1,	Regular
7001,	1,	Regular
7013,	1,	Regular
7019,	1,	Regular
7027,	1,	Regular
7039,	1,	Regular
7043,	1,	Regular
7057,	1,	Regular
7069,	1,	Regular
7079,	1,	Regular
7103,	1,	Regular
7109,	1,	Regular
7121,	1,	Regular
7127,	1,	Regular
7129,	1,	Regular
7151,	1,	Regular
7159,	1,	Regular
7177,	1,	Regular
7187,	1,	Regular
7193,	1,	Regular
7207,	1,	Regular
7211,	1,	Regular
7213,	1,	Regular
7219,	1,	Regular
7229,	1,	Regular
7237,	1,	Regular
7243,	1,	Regular
7247,	1,	Regular
7253,	1,	Regular
7283,	1,	Regular
7297,	1,	Regular
7307,	1,	Regular
7309,	1,	Regular
7321,	1,	Regular
7331,	1,	Regular
7333,	1,	Regular
7349,	1,	Regular
7351,	1,	Regular
7369,	1,	Regular
7393,	1,	Regular
7411,	1,	Regular
7417,	1,	Regular
7433,	1,	Regular
7451,	1,	Regular
7457,	1,	Regular
7459,	1,	Regular
7477,	1,	Regular
7481,	1,	Regular
7487,	1,	Regular
7489,	1,	Regular
7499,	1,	Regular
7507,	1,	Regular
7517,	1,	Regular
7523,	1,	Regular
7529,	1,	Regular
7537,	1,	Regular
7541,	1,	Regular
7547,	1,	Regular
7549,	1,	Regular
7559,	1,	Regular
7561,	1,	Regular
7573,	1,	Regular
7577,	1,	Regular
7583,	1,	Regular
7589,	1,	Regular
7591,	1,	Regular
7603,	1,	Regular
7607,	1,	Regular
7621,	1,	Regular
7639,	1,	Regular
7643,	1,	Regular
7649,	1,	Regular
7669,	1,	Regular
7673,	1,	Regular
7681,	1,	Regular
7687,	1,	Regular
7691,	1,	Regular
7699,	1,	Regular
7703,	1,	Regular
7717,	1,	Regular
7723,	1,	Regular
7727,	1,	Regular
7741,	1,	Regular
7753,	1,	Regular
7757,	1,	Regular
7759,	1,	Regular
7789,	1,	Regular
7793,	1,	Regular
7817,	1,	Regular
7823,	1,	Regular
7829,	1,	Regular
7841,	1,	Regular
7853,	1,	Regular
7867,	1,	Regular
7873,	1,	Regular
7877,	1,	Regular
7879,	1,	Regular
7883,	1,	Regular
7901,	1,	Regular
7907,	1,	Regular
7919,	1,	Regular
7927,	1,	Regular
7933,	1,	Regular
7937,	1,	Regular
7949,	1,	Regular
7951,	1,	Regular
7963,	1,	Regular
7993,	1,	Regular
8009,	1,	Regular
8011,	1,	Regular
8017,	1,	Regular
8039,	1,	Regular
8053,	1,	Regular
8059,	1,	Regular
8069,	1,	Regular
8081,	1,	Regular
8087,	1,	Regular
8089,	1,	Regular
8093,	1,	Regular
8101,	1,	Regular
8111,	1,	Regular
8117,	1,	Regular
8123,	1,	Regular
8147,	1,	Regular
8161,	1,	Regular
8167,	1,	Regular
8171,	1,	Regular
8179,	1,	Regular
8191,	1,	Regular
8209,	1,	Regular
8219,	1,	Regular
8221,	1,	Regular
8231,	1,	Regular
8233,	1,	Regular
8237,	1,	Regular
8243,	1,	Regular
8263,	1,	Regular
8269,	1,	Regular
8273,	1,	Regular
8287,	1,	Regular
8291,	1,	Regular
8293,	1,	Regular
8297,	1,	Regular
8311,	1,	Regular
8317,	1,	Regular
8329,	1,	Regular
8353,	1,	Regular
8363,	1,	Regular
8369,	1,	Regular
8377,	1,	Regular
8387,	1,	Regular
8389,	1,	Regular
8419,	1,	Regular
8423,	1,	Regular
8429,	1,	Regular
8431,	1,	Regular
8443,	1,	Regular
8447,	1,	Regular
8461,	1,	Regular
8467,	1,	Regular
8501,	1,	Regular
8513,	1,	Regular
8521,	1,	Regular
8527,	1,	Regular
8537,	1,	Regular
8539,	1,	Regular
8543,	1,	Regular
8563,	1,	Regular
8573,	1,	Regular
8581,	1,	Regular
8597,	1,	Regular
8599,	1,	Regular
8609,	1,	Regular
8623,	1,	Regular
8627,	1,	Regular
8629,	1,	Regular
8641,	1,	Regular
8647,	1,	Regular
8663,	1,	Regular
8669,	1,	Regular
8677,	1,	Regular
8681,	1,	Regular
8689,	1,	Regular
8693,	1,	Regular
8699,	1,	Regular
8707,	1,	Regular
8713,	1,	Regular
8719,	1,	Regular
8731,	1,	Regular
8737,	1,	Regular
8741,	1,	Regular
8747,	1,	Regular
8753,	1,	Regular
8761,	1,	Regular
8779,	1,	Regular
8783,	1,	Regular
8803,	1,	Regular
8807,	1,	Regular
8819,	1,	Regular
8821,	1,	Regular
8831,	1,	Regular
8837,	1,	Regular
8839,	1,	Regular
8849,	1,	Regular
8861,	1,	Regular
8863,	1,	Regular
8867,	1,	Regular
8887,	1,	Regular
8893,	1,	Regular
8923,	1,	Regular
8929,	1,	Regular
8933,	1,	Regular
8941,	1,	Regular
8951,	1,	Regular
8963,	1,	Regular
8969,	1,	Regular
8971,	1,	Regular
8999,	1,	Regular
9001,	1,	Regular
9007,	1,	Regular
9011,	1,	Regular
9013,	1,	Regular
9029,	1,	Regular
9041,	1,	Regular
9043,	1,	Regular
9049,	1,	Regular
9059,	1,	Regular
9067,	1,	Regular
9091,	1,	Regular
9103,	1,	Regular
9109,	1,	Regular
9127,	1,	Regular
9133,	1,	Regular
9137,	1,	Regular
9151,	1,	Regular
9157,	1,	Regular
9161,	1,	Regular
9173,	1,	Regular
9181,	1,	Regular
9187,	1,	Regular
9199,	1,	Regular
9203,	1,	Regular
9209,	1,	Regular
9221,	1,	Regular
9227,	1,	Regular
9239,	1,	Regular
9241,	1,	Regular
9257,	1,	Regular
9277,	1,	Regular
9281,	1,	Regular
9283,	1,	Regular
9293,	1,	Regular
9311,	1,	Regular
9319,	1,	Regular
9323,	1,	Regular
9337,	1,	Regular
9341,	1,	Regular
9343,	1,	Regular
9349,	1,	Regular
9371,	1,	Regular
9377,	1,	Regular
9391,	1,	Regular
9397,	1,	Regular
9403,	1,	Regular
9413,	1,	Regular
9419,	1,	Regular
9421,	1,	Regular
9431,	1,	Regular
9433,	1,	Regular
9437,	1,	Regular
9439,	1,	Regular
9461,	1,	Regular
9463,	1,	Regular
9467,	1,	Regular
9473,	1,	Regular
9479,	1,	Regular
9491,	1,	Regular
9497,	1,	Regular
9511,	1,	Regular
9521,	1,	Regular
9533,	1,	Regular
9539,	1,	Regular
9547,	1,	Regular
9551,	1,	Regular
9587,	1,	Regular
9601,	1,	Regular
9613,	1,	Regular
9619,	1,	Regular
9623,	1,	Regular
9629,	1,	Regular
9631,	1,	Regular
9643,	1,	Regular
